index,Text,Tag,sentence_id
0,thật tuyệt_vời .,[0. 0.],0
1,"mỹ đã tuột_dốc quá nhiều rồi , giờ muốn vực dậy cũng rất khó",[1. 0.],1
2,"tôi thấy người lái_xe hơi bấm còi mới là người rất lịch_sự quá văn minh.đường xá là của chung , người cùng sử_dụng kiên_nhẫn cùng nhau dùng . bấm còi nháy đèn đòi ưu_tiên tôi phải được đi trước . thật quá là anh đại mà .",[1. 1.],2
3,coi dịch là giặc . đã mang tên đó mà xâm_nhập vn thì phải đầu_hàng hoặc cút xéo . vn luôn tự_hào,[0. 0.],3
4,"thương các bé quá các con còn quá nhỏ mà đã phải sớm rời xa cha_mẹ xin chia buồn cùng các gia_đình các con , cầu_mong các con thật vui ở thế_giới mới",[0. 0.],4
5,sevila đoạt cúp sau loạt đá luân_lưu nha,[0. 0.],5
6,angelina jolie có đôi bàn_tay nổi gân_guốc quá,[0. 0.],6
7,"tôi không biết bà ấy làm thế_nào để xử_lý gã ấy , chỉ thấy đánh bùm bùm .",[0. 0.],7
8,tấm hình này chắc bộ_nhớ máy_tính chứa được tấm,[0. 0.],8
9,không_trung sẽ không còn yên_tĩnh,[0. 0.],9
10,"dí súng vào người khác bóp cò , đạn ko nổ , ko thuộc trường_hợp có tính côn_đồ bó_tay luônđề nghị giảm án cho anh đi",[0. 0.],10
11,em quá giỏi . em nên tham_gia thành_lập clb tiếng anh . ở các giáo_xứ nhà_chùa các trường anh ngữ có sự tham_gia của các hội thiện nguyện . hãy cho các em không có điều_kiện học ngoại_ngữ một cơ_hội ước_mơ,[0. 0.],11
12,"mình học đại_học bên mỹ mà nhiều khi giáo_sư còn dặn chỉ được lôi điện_thoại hay laptop để ghi_chép thôi đó . suốt mấy năm mình chỉ dùng điện_thoại để chụp hình bài giảng nếu ghi không kịp hay thu âm cái gì quan_trọng . sau giờ học thì dĩ_nhiên là phải dùng máy_móc các thứ để làm bài , nhưng trong giờ giảng thì vẫn học theo cách truyền_thống thôi . cho học_sinh dùng máy_vi_tính với những môn đặc_biệt hay để thuyết_trình thì nghe còn có_lí . chưa kể học_sinh mà dùng điện_thoại thì chuyện quaychụp lén sẽ rất khó kiểm_soát .",[1. 0.],12
13,tui cực sợ rắn nhưng khi xem clip này tui lại cực mắc_cười xd,[0. 0.],13
14,phản_ánh một thực_tế khoảng_cách giàu nghèo ngày_càng lớn . vẫn còn nhiều đứa trẻ không biết bánh_trung_thu là gì . chạnh_lòng .,[0. 0.],14
15,messi vẫn chơi hay nhất trận .,[0. 0.],15
